numstage,3,,,3,,
,seeding,sapling,adult,seeding,sapling,adult
deathrates,0.65,0.61,0,0.5,0.05,0
growthrates,1,0.23,0,0.1,0.7,0
reproducerates,0,0,0.03,0,0,0.03
,,,,,,
dispersalradius,0,0,0,0,0,0
radius (meters),0,1,2.26,0,1,2.55
,,,,,,
init,0,15,14,0,0,0
,,,,,,
D,R. apiculata,,,A. officinalis,,
effect,seeding,sapling,adult,seeding,sapling,adult
seeding,0,0,0,0,0,0
sapling,0,0,0,0,0,0
adult,0,0,0,0,0,0
seeding,0,0,0,0,0,0
sapling,0,0,0,0,0,0
adult,0,0,0,0,0,0
,,,,,,
R,R. apiculata,,,A. officinalis,,
effect,seeding,sapling,adult,seeding,sapling,adult
seeding,0,0,0,0,0,0
sapling,0,0,0,0,0,0
adult,0,0,0,0,0,0
seeding,0,0,0,0,0,0
sapling,0,0,0,0,0,0
adult,0,0,0,0,0,0
,,,,,,
G,R. apiculata,,,A. officinalis,,
effect,seeding,sapling,adult,seeding,sapling,adult
seeding,0,0,0,0,0,0
sapling,0,0,0,0,0,0
adult,0,0,0,0,0,0
seeding,0,0,0,0,0,0
sapling,0,0,0,0,0,0
adult,0,0,0,0,0,0
